,0
0,0.035230741
1,0.035384253
2,0.035537902
3,0.035434377
4,0.03524854
5,0.034936081
6,0.0342859
7,0.034376137
8,0.035090928
9,0.035303573
10,0.035382602
11,0.036076619
12,0.03663645
13,0.036847993
14,0.03688405
15,0.036467975
16,0.037640077
17,0.038374825
18,0.039313993
19,0.040295238
20,0.042170137
21,0.043684303
22,0.045236254
23,0.046964038
24,0.049008343
25,0.051426706
26,0.054205054
27,0.055796226
28,0.059070701
29,0.063149145
30,0.067302334
31,0.071433634
32,0.074535004
33,0.07925888
34,0.08185543
35,0.08419181
36,0.088594021
37,0.092051097
38,0.096853084
39,0.099776377
40,0.10228364
41,0.10544572
42,0.10870512
43,0.11110861
44,0.11306721
45,0.11385816
46,0.11573607
47,0.11674459
48,0.11677232
49,0.11649924
50,0.11634313
51,0.11638188
52,0.1162889
53,0.11595369
54,0.11529924
55,0.11436167
56,0.11284778
57,0.11217158
58,0.11032385
59,0.10696512
60,0.10542295
61,0.10262708
62,0.099245664
63,0.095978574
64,0.093234254
65,0.089168094
66,0.086788268
67,0.08352323
68,0.079825387
69,0.076064448
70,0.072128688
71,0.068836299
72,0.065088958
73,0.062326603
74,0.058414216
75,0.055836571
76,0.054414878
77,0.051230056
78,0.049521934
79,0.047515407
80,0.044928424
81,0.04255618
82,0.040622957
83,0.039126437
84,0.037531941
85,0.039414523
86,0.040320897
87,0.041775004
88,0.041847666
89,0.042394742
90,0.044141852
91,0.047151424
92,0.049187551
93,0.051275862
94,0.053968832
95,0.056993589
96,0.061617888
97,0.064911031
98,0.069215577
99,0.072391475
100,0.075812027
101,0.077567438
102,0.078720762
103,0.080621259
104,0.081667412
105,0.082624323
106,0.082999077
107,0.083494474
108,0.082227535
109,0.080514039
110,0.079515208
111,0.077060073
112,0.075183673
113,0.07235542
114,0.06980625
115,0.066320886
116,0.065234874
117,0.062570618
118,0.059697428
119,0.057560278
120,0.055831102
121,0.054504361
122,0.051869184
123,0.05006664
124,0.048160797
125,0.047805029
126,0.04644217
127,0.043673355
128,0.042137136
129,0.042057881
130,0.040722063
131,0.040810164
132,0.039263374
